questionId,place,no,category,text,weight,required,isActive
Q236,トイレ,1,Q,スリッパはほつれ等の劣化や破損はしていない,1,TRUE,TRUE
Q237,トイレ,2,Q,床/壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q238,トイレ,3,C,床と壁の境目や四隅などに埃、床や壁に尿とび等の汚れがないか,1,TRUE,TRUE
Q239,トイレ,4,C,便座裏･ふち裏･ノズル･赤カビ･目皿溝･流水溝･排水溝等は汚れていない,1,TRUE,TRUE
Q240,トイレ,5,C,ペーパーホルダーに汚れや紙粉が溜まっていないか,1,TRUE,TRUE
Q241,トイレ,6,Q,トイレットペーパーはケースに入れ、予備が設置されているか,1,TRUE,TRUE
Q242,トイレ,7,C,洗面ボウルに水垢や汚れがないか、洗面台下･パイプに埃が溜まっていないか,1,TRUE,TRUE
Q243,トイレ,8,C,ハンドドライヤー（ジェットタオル）に赤カビ･水垢などの汚れはないか、フィルターに埃が溜まっていないか,1,TRUE,TRUE
Q244,トイレ,9,Q,ハンドソープは補充されているか、業態に合ったボトルで設置しているか,1,TRUE,TRUE
Q245,トイレ,10,C,換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q246,トイレ,11,Q,トイレ全体は不快な臭いではないか,1,TRUE,TRUE
Q247,事務所,1,Q,HACCPに基づいた衛生管理シートを使用し、水素水サーバーの衛生管理が行われているか（事務所）,1,TRUE,TRUE
Q248,事務所,2,Q,HACCPに基づいた衛生管理シートを使用し、プロテインサーバーの衛生管理が行われているか（事務所）,1,TRUE,TRUE
Q249,事務所,3,Q,事務所内は整理整頓されTOPＳが取り入れられているか、私物が放置されていたり、私用の携帯電話を充電をしていないか,1,TRUE,TRUE
Q250,事務所,4,Q,年間会員動向･計画はスタッフの見えるところに掲示され、毎月更新されているか,1,TRUE,TRUE
Q251,事務所,5,Q,業者一覧（連絡先）はスタッフの見えるところに掲示されているか、,1,TRUE,TRUE
Q252,事務所,6,Q,エリア内の社員連絡先一覧はスタッフの見えるところに掲示されているか,1,TRUE,TRUE
Q253,事務所,7,Q,ノベルティや備品の在庫をしっかり管理できているか、在庫数が見える化されているか,1,TRUE,TRUE
Q254,事務所,8,Q,マシンメンテナンス表を活用できているか,1,TRUE,TRUE
Q255,事務所,9,Q,館内清掃チェック表は漏れなくチェック出来ているか,1,TRUE,TRUE
Q256,事務所,10,Q,塩素チェック表は5～6回/日、漏れなくチェック出来ているか,1,TRUE,TRUE
Q257,事務所,11,Q,塩素濃度は計測毎、基準内（0.4～1.0ml）を保たれているか,1,TRUE,TRUE
Q258,事務所,12,Q,救命救急/消防訓練は2回/年以上、実施できているか,1,TRUE,TRUE
Q259,事務所,13,Q,店舗スタッフMTは１回/月以上、実施できているか,1,TRUE,TRUE
Q260,事務所,14,Q,会社の経営理念･事業理念などを唱和しているか、または確認しているか,1,TRUE,TRUE
Q261,事務所,15,C,洗濯機の外側･ホース･ドラムの内側･ゴミ取りネット等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q262,事務所,16,C,掃除機ヘッド、ブラシ等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q263,事務所,17,Q,バックヤードは整理整頓され、TOPＳが取り入れられているか,1,TRUE,TRUE
Q264,事務所,18,Q,共通デスクは整理整頓され、不要物が出しっぱなしになっていないか,1,TRUE,TRUE
Q265,事務所,19,C,PC画面･配線等に埃が溜まっていないか,1,TRUE,TRUE
Q266,事務所,20,C,神棚上部･神棚前･榊等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q267,事務所,21,Q,カシオPCに目隠しシートが貼られているか,1,TRUE,TRUE
Q268,事務所,22,Q,共有事項（業務･お問い合わせ･見学など）は共有されているか,1,TRUE,TRUE
Q269,事務所,23,Q,個人情報書類は鍵が付いた書棚等に保管されているか,1,TRUE,TRUE
Q270,事務所,24,Q,店舗ホームページには最新の情報が掲載されているか（ノースタッフデー、入会ＣＰなど）,1,TRUE,TRUE
Q271,スタッフ,1,S,ジム担当はジム巡回をしているか,1,TRUE,TRUE
Q272,スタッフ,2,S,スタッフはフロント（レセプション）や事務所に必要以上に溜まっていないか,1,TRUE,TRUE
Q273,スタッフ,3,S,お客様への言葉遣いは敬語を使っているか,1,TRUE,TRUE
Q274,スタッフ,4,S,スタッフ同士は丁寧語な言葉遣いで会話をしているか、あだ名で呼び合っていないか,1,TRUE,TRUE
Q275,スタッフ,5,S,お客様へ挨拶が出来ているか、正対してたら◎,1,TRUE,TRUE
Q276,スタッフ,6,S,指定のユニフォームを着用しているか、ルールに基づいてユニフォームを着用しているか,1,TRUE,TRUE
Q277,スタッフ,7,S,条件反射：すみません/入会したい/退会したい/会員です/求人広告見た,1,TRUE,TRUE
Q278,スタッフ,8,S,電話応対：第一声はラの音で、右手にペン･左手に受話器、ワンコール以内で取る,1,TRUE,TRUE
Q279,スタッフ,9,S,電話応対：第一声はラの音で、右手にペン･左手に受話器、ワンコール以内で取る または お客様や外部の方へ電話を掛ける際、先に名乗っているか,1,TRUE,TRUE
Q280,スタッフ,10,S,定期的に店舗内でのCS研修を実施しているか,1,TRUE,TRUE
Q281,スタッフ,11,S,出勤時にアピアランスルールに基づき、身だしなみチェックができているか、また守られているか,1,TRUE,TRUE
Q282,オプションサービス,1,C,水素水サーバー内部にヌメリや赤カビや水垢、カルキ汚れ等はないか,1,TRUE,TRUE
Q283,オプションサービス,2,C,プロテインサーバー内部にヌメリや赤カビや水垢、カルキ汚れ等はないか,1,TRUE,TRUE
Q284,オプションサービス,3,Q,タンニング/コラーゲンのライトは切れていないか、正常に使えるか,1,TRUE,TRUE
Q285,オプションサービス,4,C,タンニング/コラーゲンマシン上部の埃、内部のオイル染み等の汚れはないか,1,TRUE,TRUE
Q286,オプションサービス,5,C,タンニング/コラーゲンゾーンのマシン裏、壁、床、脱衣用カゴ等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q287,オプションサービス,6,C,オプションルーム内に埃や汚れはないか,1,TRUE,TRUE
Q288,オプションサービス,7,C,オプションルーム内のエアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q289,オプションサービス,8,C,オプションサービス（Inbody、ボディープランナー、エステマシン、リフォーマーなど）の本体、棚･ラックなどに埃や汚れはないか。,1,TRUE,TRUE
Q290,オプションサービス,9,C,プレミアムルーム内に埃や汚れはないか,1,TRUE,TRUE
Q291,オプションサービス,10,C,プレミアムルーム内のエアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q292,オプションサービス,11,C,シャワールーム内の床･棚･扉･カラン･ゴムパッキン･排水溝･照明･換気口等に汚れが溜まっていないか,1,TRUE,TRUE
Q293,オプションサービス,12,Q,シャワーの水が出る時間は１３秒±１以内か（もしくは１５秒±１）,1,TRUE,TRUE
Q294,観覧･休憩スペース,1,C,窓ガラスは1回/日以上、清掃されているか,1,TRUE,TRUE
Q295,観覧･休憩スペース,2,C,自動販売機上部やレバー部分に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q296,観覧･休憩スペース,3,Q,テーブルやイスに破損や劣化はないか,1,TRUE,TRUE
Q297,観覧･休憩スペース,4,C,テーブルの表面、イスの座面等に汚れや埃はないか,1,TRUE,TRUE
Q298,観覧･休憩スペース,5,Q,床/壁に目立った破損箇所はない,1,TRUE,TRUE
Q299,観覧･休憩スペース,6,C,壁/四隅/巾木の段差/に埃や髪の毛はないか,1,TRUE,TRUE
